# En        Pf1        Pf2        Pf3        Pf4        TKE1       TKE2       TKE3       TKE4       Exf1       Exf2       Exf3       Exf4       Epre1      Epre2      Epre3      Epre4
 0.0000e+00 1.0000e+00     0.0000     0.0000     0.0000 1.7050e+02     0.0000     0.0000     0.0000 6.4765e+00     0.0000     0.0000     0.0000 0.0000e+00     0.0000     0.0000     0.0000
 5.0000e-01 1.0000e+00     0.0000     0.0000     0.0000 1.7093e+02     0.0000     0.0000     0.0000 6.9765e+00     0.0000     0.0000     0.0000 0.0000e+00     0.0000     0.0000     0.0000
 1.0000e+00 1.0000e+00 8.5096e-36     0.0000     0.0000 1.7093e+02 1.7020e+02     0.0000     0.0000 7.4405e+00 0.0000e+00     0.0000     0.0000 0.0000e+00 0.0000e+00     0.0000     0.0000
 1.5000e+00 1.0000e+00 2.1605e-32     0.0000     0.0000 1.7084e+02 1.7020e+02     0.0000     0.0000 7.9041e+00 0.0000e+00     0.0000     0.0000 0.0000e+00 7.4952e-01     0.0000     0.0000
 2.0000e+00 1.0000e+00 9.9797e-29     0.0000     0.0000 1.7075e+02 1.7020e+02     0.0000     0.0000 8.3744e+00 0.0000e+00     0.0000     0.0000 0.0000e+00 3.5618e-01     0.0000     0.0000
 2.5000e+00 1.0000e+00 9.2632e-25     0.0000     0.0000 1.7066e+02 1.7020e+02     0.0000     0.0000 8.8399e+00 0.0000e+00     0.0000     0.0000 0.0000e+00 1.6706e+00     0.0000     0.0000
 3.0000e+00 1.0000e+00 8.0608e-21     0.0000     0.0000 1.7057e+02 1.7020e+02     0.0000     0.0000 9.3607e+00 0.0000e+00     0.0000     0.0000 0.0000e+00 2.0646e+00     0.0000     0.0000
 3.5000e+00 1.0000e+00 8.2666e-17     0.0000     0.0000 1.7048e+02 1.7020e+02     0.0000     0.0000 9.8847e+00 0.0000e+00     0.0000     0.0000 0.0000e+00 2.2492e+00     0.0000     0.0000
 4.0000e+00 1.0000e+00 8.7999e-13     0.0000     0.0000 1.7039e+02 1.7020e+02     0.0000     0.0000 1.0401e+01 0.0000e+00     0.0000     0.0000 0.0000e+00 2.2451e+00     0.0000     0.0000
 4.5000e+00 1.0000e+00 6.9882e-09     0.0000     0.0000 1.7030e+02 1.7020e+02     0.0000     0.0000 1.0913e+01 4.3857e+00     0.0000     0.0000 0.0000e+00 2.2076e+00     0.0000     0.0000
 5.0000e+00 9.9998e-01 1.7234e-05     0.0000     0.0000 1.7021e+02 1.7020e+02     0.0000     0.0000 1.1420e+01 4.8360e+00     0.0000     0.0000 0.0000e+00 1.9539e-01     0.0000     0.0000
 5.5000e+00 9.8543e-01 1.4570e-02     0.0000     0.0000 1.7012e+02 1.7019e+02     0.0000     0.0000 1.1926e+01 5.3184e+00     0.0000     0.0000 0.0000e+00 1.4603e-01     0.0000     0.0000
